questionText,cleaned_question,emotion_label
"My wife and mother are having tense disagreements. In the past, they’ve had minor differences. For example, my wife would complain to me my mother is too overbearing; my mother would complain my wife is lazy.
However, it’s intensified lately. I think the cause is my wife talked back to her once. Now, any little disagreement is magnified, leading to major disagreements. What can I do?",wife mother tense disagreement past theyve minor difference example wife would complain mother overbearing mother would complain wife lazy however intensified lately think cause wife talked back little disagreement magnified leading major disagreement,joy
"I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental.

I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?",im planning baby quit smoking hard sometimes physical need mental cannot help thinking smoking get rid addiction,sadness
"I have secrets in my mind, and I don't know what to do with them. I don't want to tell my wife and mom because I don't want to hurt them. But I'm not sure how long that I can keep the secret to myself.

What should I do? It's becoming annoying and making me anxious. Help me out",secret mind dont know dont want tell wife mom dont want hurt im sure long keep secret becoming annoying making anxious help,sadness
I am extremely possessive in my relationships and this is hurting my friendships. How can I fix my underlying issues?,extremely possessive relationship hurting friendship fix underlying issue,sadness
I had a head injury a few years ago and my mind races all the time. I have trouble sleeping and have a lot of anxiety. Every medicine I have been on my body rejects; I get sick to my stomach and get blisters in my mouth. How can I calm my self down? I'm a wreck.,head injury year ago mind race time trouble sleeping lot anxiety every medicine body reject get sick stomach get blister mouth calm self im wreck,sadness
"I want a secure relationship with someone that wants to be with me and who will actually put effort into it.
I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate and control me because they accuse me of being controlling. I let men emotionally abuse me and I am at their beck and call.
I am not comfortable being alone or doing anything by myself. I feel I need the security of someone being around just to survive. I know what I'm doing wrong and I do it anyway just hoping things will change. How do I stop this behavior and thought process?",want secure relationship someone want actually put effort seem gravitate toward unavailable men want intimacy relationship let men dictate control accuse controlling let men emotionally abuse beck call comfortable alone anything feel need security someone around survive know im wrong anyway hoping thing change stop behavior thought process,sadness
I easily recognize this but have no control over it and need suggestions for managing my anger.,easily recognize control need suggestion managing anger,joy
"It takes me a long time to fall asleep; I’d estimate about two hours. I often have nightmares, starting with being eaten by a monster, and I often wake up frightened and unable to breathe.

I believe I started losing sleep after breaking up with a girlfriend of 8 years. Also, my father’s business went bankrupt and my mother has a chronic condition. I was under a lot of stress, and life lost meaning.

After improving my life and developing a habit of running and exercise to release stress, my symptoms improved. However in the past couple months, I started losing sleep again and having nightmares without warning. How can I solve this issue?",take long time fall asleep id estimate two hour often nightmare starting eaten monster often wake frightened unable breathe believe started losing sleep breaking girlfriend year also father business went bankrupt mother chronic condition lot stress life lost meaning improving life developing habit running exercise release stress symptom improved however past couple month started losing sleep nightmare without warning solve issue,sadness
What do you do when a therapist and a parent drugs a child and makes up lies in order to stop the other parent's custody visitation?,therapist parent drug child make lie order stop parent custody visitation,joy
They're calling me names like hypocrite and a baby even when they act in the same manner as I do. I'm tired of being called names. What should I do?,theyre calling name like hypocrite baby even act manner im tired called name,joy
"Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family.
However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without trust, I cannot stay in this relationship. On the other hand, I do not want my children to get hurt. I'm not sure how to move forward?",cheating something unacceptable two daughter decided break family however struggling forget forgive happened feel like cannot trust without trust cannot stay relationship hand want child get hurt im sure move forward,joy
"I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. I’m also noticing increased irritability and experiencing anxiety attacks that last for hours. Is there something wrong with me and if so what should I do?",lot issue going right first lot trouble sleeping time night sleep much still feel quite tired im also noticing increased irritability experiencing anxiety attack last hour something wrong,sadness
"I have no sex drive due to medical issues. I’ve shut down completely and closed everyone out. I’ve even told my husband that I wanted a divorce since that’s what I thought he wanted to hear. However, it devastated me when I learned he's seeing someone else.
I’ve since told him that I wanted to work things out but he’s not sure I actually mean it. He thinks the only reason I want him back is because I’m jealous.  How do I show him I’m serious?",sex drive due medical issue ive shut completely closed everyone ive even told husband wanted divorce since thats thought wanted hear however devastated learned he seeing someone else ive since told wanted work thing he sure actually mean think reason want back im jealous show im serious,sadness
"I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. I’m also noticing increased irritability and experiencing anxiety attacks that last for hours. Is there something wrong with me and if so what should I do?",lot issue going right first lot trouble sleeping time night sleep much still feel quite tired im also noticing increased irritability experiencing anxiety attack last hour something wrong,sadness
,nan,optimism
"The last of my emotions belong to my pets. Today my dad said he might get rid of them tomorrow. If that does happen I might dig hole in the ground with a paper that says ""here lays my emotions. R.I.P."" I practically have no emotions left and I came to the realization about this not being normal by comparing my reaction to certain situations to my family's. What's wrong with me?",last emotion belong pet today dad said might get rid tomorrow happen might dig hole ground paper say lay emotion rip practically emotion left came realization normal comparing reaction certain situation family whats wrong,sadness
